"venue_name","rooms","rates","email","phone","website","region","city","address"
"Boston Harbor Hotel",232,"$698-$1,517","reservations@bostonharborhotel.com","+1 617-439-7000","http://www.bostonharborhotel.com","Massachusetts","Boston","70 Rowes Wharf on Atlantic Ave, Boston, MA 02110"
"Four Seasons Hotel Boston",273,"$853-$4,803","reservations.bos@fourseasons.com","+1 617-338-4400","https://www.fourseasons.com/boston/","Massachusetts","Boston","200 Boylston Street, Boston, MA 02116"
"Four Seasons One Dalton Street",217,NULL,NULL,"+1 617-530-1388",NULL,"Massachusetts","Boston","1 Dalton Street, Boston, MA 02155"
"The Langham, Boston",317,NULL,"tlbos.info@langhamhotels.com","+1 617-451-1900","https://www.langhamhotels.com/en/the-langham/boston","Massachusetts","Boston","250 Franklin Street, Boston, MA 02110"
"Mandarin Oriental, Boston",148,"$841-$2,566","mobos-reservations@mohg.com","+1 617-535-8888","https://www.mandarinoriental.com/boston/back-bay/luxury-hotel","Massachusetts","Boston","776 Boylston Street, Boston, MA 02199"
"The Ritz-Carlton, Boston",193,"$898-$1,019","RC-Bostonleads@ritzcarlton.com","+1 617-574-7100","https://www.ritzcarlton.com/en/hotels/bosrt-the-ritz-carlton-boston/overview/","Massachusetts","Boston","10 Avery St, Boston, MA 02111"
"XV Beacon",63,"$606-$2,250","reservations@xvbeacon.com","+1 617-670-1500","https://xvbeacon.com","Massachusetts","Boston","15 Beacon St, Boston, MA 02108"
"Battery Wharf Hotel, Boston Waterfront",150,"$415-$1,209","contactus@batterywharfhotel.com","+1 617-994-9000","https://www.batterywharfhotelboston.com","Massachusetts","Boston","Three Battery Wharf, Boston, MA 02109"
"The Eliot Hotel",95,"$384-$527","email@eliothotel.com","+1 617-267-1607","http://www.eliothotel.com","Massachusetts","Boston","370 Commonwealth Ave, Boston, MA 02215"
"Fairmont Copley Plaza Boston",383,"$552-$4,433","boston@fairmont.com","+1 617-267-5300","https://www.fairmont.com/copley-plaza-boston","Massachusetts","Boston","138 St James Ave, Boston, MA 02116"
"Hotel Commonwealth",245,NULL,"info@hotelcommonwealth.com","+1 617-933-5000","https://www.hotelcommonwealth.com","Massachusetts","Boston","500 Commonwealth Ave, Boston, MA 02215"
"InterContinental Boston",424,"$477-$1,188","icboston@ihg.com","+1 617-747-1000","https://www.icbostonhotel.com","Massachusetts","Boston","510 Atlantic Avenue, Boston, MA 02210"
"The Liberty, a Luxury Collection Hotel",298,"$584-$2,085","reservations@libertyhotel.com","+1 617-224-4000","https://www.marriott.com/en-us/hotels/boslc-the-liberty-a-luxury-collection-hotel-boston/overview/","Massachusetts","Boston","215 Charles St, Boston, MA 02114"
"W Boston",238,"$599-$2,230","Gurkirat.singh@whotels.com","+1 617-261-8700","https://www.marriott.com/en-us/hotels/boswh-w-boston/overview/","Massachusetts","Boston","100 Stuart St, Boston, MA 02116"
"The Westin Copley Place Boston",803,"$466-$666","westincopley@westin.com","+1 617-262-9600","https://www.marriott.com/en-us/hotels/boswi-the-westin-copley-place-boston/overview/","Massachusetts","Boston","10 Huntington Ave, Boston, MA 02116"
"The Bostonian Boston",201,"$417-$655","bostonian@mhrmail.com","+1 617-523-3600","https://www.millenniumhotels.com/en/boston/the-bostonian-boston","Massachusetts","Boston","26 North St, Boston, MA 02109-1509"
"Boston Marriott Copley Place",1144,"$397-$775","joanne.lynch@marriott.com","+1 617-236-5800","https://www.marriott.com/en-us/hotels/bosco-boston-marriott-copley-place/overview/","Massachusetts","Boston","110 Huntington Avenue, Boston, MA 02116"
"Boston Marriott Long Wharf",412,"$616-$742",NULL,"+1 617-227-0800",NULL,"Massachusetts","Boston","296 State St, Boston, MA 02109"
"citizenM Boston North Station Hotel",272,"$179-$599","supportbns@citizenm.com","+1 617-861-4360

Hotel E-mailHotel Website","https://www.citizenm.com/destinations/boston/boston-north-station-hotel","Massachusetts","Boston","70 Causeway St, Boston, MA 02114"
"Copley Square Hotel",143,"$433-$699","info@copleysquarehotel.com","+1 617-536-9000","https://www.copleysquarehotel.com","Massachusetts","Boston","47 Huntington Ave, Boston, MA 02116"
"The Godfrey Hotel",242,"$425-$492","info@godfreyhotelboston.com","+1 617-804-2000","https://www.godfreyhotelboston.com/gallery","Massachusetts","Boston","505 Washington St, Boston, MA 02111"
"Hilton Boston Logan Airport",604,"$421-$984","boslh_ds@hilton.com","+1 617-568-6700","https://www.hilton.com/en/hotels/boslhhh-hilton-boston-logan-airport/","Massachusetts","Boston","1 Hotel Drive, Boston, MA 02128"
"Hotel AKA Back Bay",225,"$498-$1,130",NULL,"+1 617-266-7200",NULL,"Massachusetts","Boston","154 Berkeley St, Boston, MA 02116"
"Hotel AKA Boston Common",190,"$514-$1,945","BCguestservices@stayaka.com","+1 617-772-5800","https://www.stayaka.com/hotel-aka-boston-common","Massachusetts","Boston","90 Tremont St, Boston, MA 02108"
"Hyatt Regency Boston",502,NULL,"qualitybosto@hyatt.com","+1 617-912-1234","https://www.hyatt.com/en-US/hotel/massachusetts/hyatt-regency-boston/bosto","Massachusetts","Boston","One Ave de Lafayette, Boston, MA 02111"
"Hyatt Regency Boston Harbor",270,NULL,"salesbosha@hyatt.com","+1 617-568-1234","http://bostonharbor.regency.hyatt.com","Massachusetts","Boston","101 Harborside Dr, Boston, MA 02128"
"The Lenox",214,"$469-$599","info@lenoxhotel.com","+1 617-536-5300","https://www.lenoxhotel.com","Massachusetts","Boston","61 Exeter Street at Boylston, Boston, MA 02116"
"Omni Boston Hotel at the Seaport",1054,NULL,NULL,"+1 617-476-6664",NULL,"Massachusetts","Boston","450 Summer Street, Boston, MA 02210"
"Omni Parker House",551,NULL,"reservations@omnihotels.com","+1 617-227-8600","https://www.omnihotels.com/hotels/boston-parker-house","Massachusetts","Boston","60 School St, Boston, MA 02108"
"Onyx Boston Downtown, Curio Collection",112,NULL,"talktous@onyxhotel.com","+1 617-557-9955","https://www.hilton.com/en/hotels/bosdoqq-onyx-boston-downtown/","Massachusetts","Boston","155 Portland St, Boston, MA 02114-1702"
"Renaissance Boston Waterfront Hotel",471,"$329-$595",NULL,"+1 617-338-4111",NULL,"Massachusetts","Boston","606 Congress St, Boston, MA 02210"
"Revere Hotel Boston Common",356,"$446-$702","info@reverehotel.com","+1 617-482-1800","http://www.RevereHotel.com","Massachusetts","Boston","200 Stuart St, Boston, MA 02116"
"Seaport Hotel Boston",428,NULL,"info@seaportboston.com","+1 617-385-4000","https://www.seaportboston.com/","Massachusetts","Boston","One Seaport Lane, Boston, MA 02210"
"Westin Boston Seaport District",793,NULL,"waterfront.sales@westin.com","+1 617-532-4600","https://www.marriott.com/hotels/travel/bosow-the-westin-boston-seaport-district","Massachusetts","Boston","425 Summer St, Boston, MA 02210"
"White Hart Hotel",26,"$61-$186","i.diggins@innmail.co.uk","+44 1205-311900","http://www.whitehartboston.com","England","Boston","1-5 High St., Bridge Foot, Boston, England PE21 8SH"
"Beacon Hill Hotel & Bistro",12,"$401-$499","stay@beaconhillhotel.com","+1 617-723-7575","http://www.beaconhillhotel.com","Massachusetts","Boston","25 Charles St, Beacon Hill, Boston, MA 02114"
"Cambria Hotel Boston Downtown",156,"$159-$799",NULL,"+1 617-752-6681",NULL,"Massachusetts","Boston","6 West Broadway, Boston, MA 02127"
"Canopy by Hilton Boston Downtown",212,NULL,NULL,"+1 857-758-4410Toll Free: +844-MY-CANOPY

Hotel Website",NULL,"Massachusetts","Boston","99 Blackstone Street, Boston, MA 02109"
